epoch,train_loss,train_acc,val_loss,val_acc,val_miou
1,0.7647027879953384,0.736320297106759,0.6749027907848358,0.7449778816115357,0.18236486613750458
2,0.5963070211932063,0.7853137593541953,0.5368398696184158,0.8054504792868785,0.20756599307060242
3,0.5453642256557941,0.7997313365731515,0.5199436731636524,0.8088682321115339,0.21966299414634705
4,0.525801633298397,0.8059038675880767,0.4983574353158474,0.8162325257606837,0.22094349563121796
5,0.5069878360256552,0.8098793713658088,0.5321763984858989,0.7963720296146723,0.22889386117458344
6,0.49607101604342463,0.8128181034242224,0.46537332981824875,0.8216601564189634,0.24603384733200073
7,0.4904266992583871,0.8135146733024281,0.47655582055449486,0.8181864269986316,0.235252246260643
8,0.4797929501160979,0.8158007354433612,0.4703653611242771,0.819079380919207,0.2415221482515335
9,0.478842880576849,0.8165314856506527,0.4739265151321888,0.8235681314045494,0.2604256272315979
10,0.4729284290224314,0.8182865425324074,0.44470887929201125,0.8292146432738777,0.30670449137687683
11,0.45915093924850225,0.8228894869681228,0.44277624413371086,0.8278626812687553,0.2792259752750397
12,0.4505545638501644,0.8252335540755809,0.4367391139268875,0.8297880217209547,0.32659512758255005
13,0.4478071089833975,0.8251032070176719,0.43747058138251305,0.8273578741513821,0.32365792989730835
14,0.4459584502503276,0.8260918872692476,0.4376452028751373,0.8298316580216751,0.3532305061817169
15,0.4449117984622717,0.8264530004141794,0.441707144677639,0.8282627867083064,0.3316252827644348
16,0.43343787025660274,0.8300128844048678,0.4388637706637383,0.8303707508039002,0.3466392457485199
17,0.4312799805775285,0.830813739171057,0.4518388770520687,0.8234031912766073,0.3512490689754486
18,0.4304884150624275,0.8306915006373568,0.43476196378469467,0.8296764501882086,0.3592466711997986
19,0.41719291619956494,0.8358906581888531,0.4505743272602558,0.8281113318511409,0.3668118119239807
20,0.42084425017237664,0.8345487415550439,0.42975843101739886,0.8329082080517753,0.38592296838760376
21,0.41561238914728166,0.8363539601248358,0.4230512320995331,0.8375424976858766,0.38872432708740234
22,0.4080296654254198,0.8392255111644481,0.4396842889487743,0.8337789621633834,0.37597042322158813
23,0.40597274284809826,0.8401395802158829,0.4286524049937725,0.8345778372373617,0.3935219943523407
24,0.39844376426190137,0.8424027982451645,0.44383835345506667,0.829867979199097,0.35880613327026367
25,0.39727340657263993,0.8430161842394315,0.42961306869983673,0.834991873216064,0.41004809737205505
26,0.3986240928992629,0.8415737268393798,0.4185827672481537,0.8378680524775496,0.40997734665870667
27,0.38659525383263826,0.8467902663714402,0.42350710481405257,0.8366077521478474,0.4179510474205017
28,0.38461856041103604,0.8470510131587019,0.4307134047150612,0.8366623293286319,0.4108021855354309
29,0.3793177388608456,0.8495038343646473,0.42866657450795176,0.8355479498062955,0.42025038599967957
30,0.37991204727441075,0.8483555408298395,0.4412783354520798,0.8318252517547391,0.4154660403728485
31,0.3765639265999198,0.8499974802463649,0.4392260335385799,0.8352726467311958,0.39273571968078613
